incident_id,org_id,site_id,title,description,status,priority,reported_by,reported_at,ward,category
INC-0001,ORG-0001,SITE-0001,Access road dust affecting livestock,Illustrative grievance for the SRM demo pack. Not a live matter.,Open,P4-Low,USER-0001,2026-07-02T09:00:00Z,Ward 2,grievance
INC-0002,ORG-0002,SITE-0002,Employment list dispute at km marker,Illustrative grievance for the SRM demo pack. Not a live matter.,Investigating,P3-Medium,USER-0002,2026-07-03T09:00:00Z,Ward 3,grievance
INC-0003,ORG-0003,SITE-0003,Noise after 18:00 near homestead,Illustrative grievance for the SRM demo pack. Not a live matter.,Escalated,P2-High,USER-0003,2026-07-04T09:00:00Z,Ward 4,grievance
INC-0004,ORG-0004,SITE-0004,Standing water at culvert inlet,Illustrative grievance for the SRM demo pack. Not a live matter.,Closed,P1-Critical,USER-0004,2026-07-05T09:00:00Z,Ward 5,grievance
INC-0005,ORG-0005,SITE-0005,Fence cut on community grazing land,Illustrative grievance for the SRM demo pack. Not a live matter.,Open,P4-Low,USER-0005,2026-07-06T09:00:00Z,Ward 6,grievance
INC-0006,ORG-0001,SITE-0006,Access road dust affecting livestock,Illustrative grievance for the SRM demo pack. Not a live matter.,Investigating,P3-Medium,USER-0006,2026-07-07T09:00:00Z,Ward 7,grievance
INC-0007,ORG-0002,SITE-0007,Employment list dispute at km marker,Illustrative grievance for the SRM demo pack. Not a live matter.,Escalated,P2-High,USER-0007,2026-07-08T09:00:00Z,Ward 8,grievance
INC-0008,ORG-0003,SITE-0008,Noise after 18:00 near homestead,Illustrative grievance for the SRM demo pack. Not a live matter.,Closed,P1-Critical,USER-0008,2026-07-09T09:00:00Z,Ward 9,grievance
INC-0009,ORG-0004,SITE-0009,Standing water at culvert inlet,Illustrative grievance for the SRM demo pack. Not a live matter.,Open,P4-Low,USER-0009,2026-07-10T09:00:00Z,Ward 10,grievance
INC-0010,ORG-0005,SITE-0010,Fence cut on community grazing land,Illustrative grievance for the SRM demo pack. Not a live matter.,Investigating,P3-Medium,USER-0010,2026-07-11T09:00:00Z,Ward 11,grievance
INC-0011,ORG-0001,SITE-0011,Access road dust affecting livestock,Illustrative grievance for the SRM demo pack. Not a live matter.,Escalated,P2-High,USER-0011,2026-07-12T09:00:00Z,Ward 12,grievance
INC-0012,ORG-0002,SITE-0012,Employment list dispute at km marker,Illustrative grievance for the SRM demo pack. Not a live matter.,Closed,P1-Critical,USER-0012,2026-07-13T09:00:00Z,Ward 1,grievance
INC-0013,ORG-0003,SITE-0013,Noise after 18:00 near homestead,Illustrative grievance for the SRM demo pack. Not a live matter.,Open,P4-Low,USER-0013,2026-07-14T09:00:00Z,Ward 2,grievance
INC-0014,ORG-0004,SITE-0014,Standing water at culvert inlet,Illustrative grievance for the SRM demo pack. Not a live matter.,Investigating,P3-Medium,USER-0014,2026-07-15T09:00:00Z,Ward 3,grievance
INC-0015,ORG-0005,SITE-0015,Fence cut on community grazing land,Illustrative grievance for the SRM demo pack. Not a live matter.,Escalated,P2-High,USER-0015,2026-07-16T09:00:00Z,Ward 4,grievance
INC-0016,ORG-0001,SITE-0016,Access road dust affecting livestock,Illustrative grievance for the SRM demo pack. Not a live matter.,Closed,P1-Critical,USER-0016,2026-07-17T09:00:00Z,Ward 5,grievance
INC-0017,ORG-0002,SITE-0017,Employment list dispute at km marker,Illustrative grievance for the SRM demo pack. Not a live matter.,Open,P4-Low,USER-0017,2026-07-18T09:00:00Z,Ward 6,grievance
INC-0018,ORG-0003,SITE-0018,Noise after 18:00 near homestead,Illustrative grievance for the SRM demo pack. Not a live matter.,Investigating,P3-Medium,USER-0018,2026-07-19T09:00:00Z,Ward 7,grievance
INC-0019,ORG-0004,SITE-0019,Standing water at culvert inlet,Illustrative grievance for the SRM demo pack. Not a live matter.,Escalated,P2-High,USER-0019,2026-07-20T09:00:00Z,Ward 8,grievance
INC-0020,ORG-0005,SITE-0020,Fence cut on community grazing land,Illustrative grievance for the SRM demo pack. Not a live matter.,Closed,P1-Critical,USER-0020,2026-07-21T09:00:00Z,Ward 9,grievance
INC-0021,ORG-0001,SITE-0001,Access road dust affecting livestock,Illustrative grievance for the SRM demo pack. Not a live matter.,Open,P4-Low,USER-0001,2026-07-22T09:00:00Z,Ward 2,grievance
INC-0022,ORG-0002,SITE-0002,Employment list dispute at km marker,Illustrative grievance for the SRM demo pack. Not a live matter.,Investigating,P3-Medium,USER-0002,2026-07-23T09:00:00Z,Ward 3,grievance
INC-0023,ORG-0003,SITE-0003,Noise after 18:00 near homestead,Illustrative grievance for the SRM demo pack. Not a live matter.,Escalated,P2-High,USER-0003,2026-07-24T09:00:00Z,Ward 4,grievance
INC-0024,ORG-0004,SITE-0004,Standing water at culvert inlet,Illustrative grievance for the SRM demo pack. Not a live matter.,Closed,P1-Critical,USER-0004,2026-07-25T09:00:00Z,Ward 5,grievance
