id,incident_id,asset_id,created_by,assigned_to,due_date,status,cost_estimate,notes
WO-001,INC-301,ASSET-221,USER-ADMIN-01,USER-CTR-01,2026-08-24,Open,72000,Replace grate and bolt down
WO-002,INC-302,ASSET-210,USER-MGR-01,USER-CTR-01,2026-08-07,Open,72000,Vegetation cut-back 20 m
WO-003,INC-303,ASSET-203,USER-ADMIN-01,USER-INS-01,2026-07-30,Overdue,3500,Place temporary barriers
WO-004,INC-304,ASSET-224,USER-MGR-01,USER-INS-01,2026-08-14,Completed,72000,Clean and CCTV outlet
WO-005,INC-305,ASSET-225,USER-MGR-01,USER-INS-01,2026-08-31,Open,48000,Reconstruct outlet apron
WO-006,INC-306,ASSET-226,USER-ADMIN-01,USER-CTR-01,2026-08-27,Completed,48000,Replace grate and bolt down
WO-007,INC-307,ASSET-227,USER-MGR-01,USER-CTR-01,2026-08-10,Open,3500,Re-seal deck joint
WO-008,INC-308,ASSET-208,USER-ADMIN-01,USER-INS-01,2026-08-14,Overdue,15000,Re-seal deck joint
WO-009,INC-309,ASSET-249,USER-ADMIN-01,USER-CTR-01,2026-08-02,Overdue,8000,Vegetation cut-back 20 m
WO-010,INC-310,ASSET-230,USER-MGR-01,USER-INS-01,2026-08-25,Overdue,15000,Place temporary barriers
WO-011,INC-311,ASSET-211,USER-MGR-01,USER-INS-01,2026-07-16,Open,12000,Replace grate and bolt down
WO-012,INC-312,ASSET-212,USER-ADMIN-01,USER-CTR-01,2026-07-09,Overdue,8000,Replace grate and bolt down
WO-013,INC-313,ASSET-233,USER-MGR-01,USER-CTR-01,2026-08-11,Overdue,48000,Clean and CCTV outlet
WO-014,INC-314,ASSET-234,USER-MGR-01,USER-CTR-01,2026-09-04,In Progress,8000,Vegetation cut-back 20 m
WO-015,INC-315,ASSET-235,USER-MGR-01,USER-INS-01,2026-06-29,Open,8000,Place temporary barriers
WO-016,INC-316,ASSET-236,USER-MGR-01,USER-CTR-01,2026-08-10,Open,48000,Place temporary barriers
WO-017,INC-317,ASSET-237,USER-ADMIN-01,USER-INS-01,2026-08-18,Overdue,48000,Re-seal deck joint
WO-018,INC-318,ASSET-218,USER-ADMIN-01,USER-CTR-01,2026-08-01,Open,72000,Replace grate and bolt down
WO-019,INC-319,ASSET-219,USER-ADMIN-01,USER-CTR-01,2026-08-29,Overdue,24500,Re-seal deck joint
WO-020,INC-320,ASSET-240,USER-MGR-01,USER-INS-01,2026-08-15,Overdue,8000,Reset guardrail posts
WO-021,INC-321,ASSET-221,USER-MGR-01,USER-CTR-01,2026-06-16,Overdue,3500,Reset guardrail posts
WO-022,INC-322,ASSET-242,USER-MGR-01,USER-CTR-01,2026-08-23,Completed,8000,Reconstruct outlet apron
WO-023,INC-323,ASSET-243,USER-MGR-01,USER-INS-01,2026-08-04,Completed,8000,Reconstruct outlet apron
WO-024,INC-324,ASSET-204,USER-MGR-01,USER-CTR-01,2026-07-16,Overdue,48000,Reconstruct outlet apron
WO-025,INC-325,ASSET-245,USER-MGR-01,USER-INS-01,2026-08-18,Overdue,8000,Vegetation cut-back 20 m
WO-026,INC-326,ASSET-226,USER-ADMIN-01,USER-INS-01,2026-07-10,Completed,12000,Reset guardrail posts
WO-027,INC-327,ASSET-227,USER-MGR-01,USER-INS-01,2026-07-24,Open,72000,Reconstruct outlet apron
WO-028,INC-328,ASSET-228,USER-ADMIN-01,USER-INS-01,2026-07-27,Overdue,3500,Vegetation cut-back 20 m
WO-029,INC-329,ASSET-209,USER-ADMIN-01,USER-INS-01,2026-07-29,Completed,12000,Replace grate and bolt down
WO-030,INC-330,ASSET-230,USER-ADMIN-01,USER-INS-01,2026-07-26,Open,12000,Reconstruct outlet apron
WO-031,INC-301,ASSET-241,USER-ADMIN-01,USER-INS-01,2026-09-04,Overdue,8000,Place temporary barriers
WO-032,INC-302,ASSET-210,USER-MGR-01,USER-CTR-01,2026-08-16,Open,72000,Reconstruct outlet apron
WO-033,INC-303,ASSET-243,USER-MGR-01,USER-CTR-01,2026-07-16,Overdue,15000,Replace grate and bolt down
WO-034,INC-304,ASSET-204,USER-MGR-01,USER-INS-01,2026-08-15,Overdue,12000,Clean and CCTV outlet
WO-035,INC-305,ASSET-205,USER-MGR-01,USER-INS-01,2026-09-01,Completed,3500,Clean and CCTV outlet
WO-036,INC-306,ASSET-246,USER-ADMIN-01,USER-CTR-01,2026-09-03,Completed,24500,Reconstruct outlet apron
WO-037,INC-307,ASSET-207,USER-MGR-01,USER-CTR-01,2026-08-05,Completed,24500,Replace grate and bolt down
